文件表头（UserId）,文件表头（Region）,文件表头（ServiceId）,文件表头（FunctionId）,文件表头（StartTime）,文件表头（EndTime）,文件表头（ServiceName）,文件表头（FunctionName）,文件表头（Invocations）,文件表头（ActiveCPUUsage）,文件表头（IdleCPUUsage）,文件表头（MemoryUsage）,文件表头（DiskUsage）,文件表头（GPUUsage）,文件表头（DataTransferOut）,闲置GPU使用量,CU使用量
1484622338564623	,cn-hongkong,56320fcd-010c-4635-bc09-8e6baeba5f36,56320fcd-010c-4635-bc09-8e6baeba5f36,2026-08-14 02:00:00,2026-08-14 03:00:00,,base_line_Tow_satge_search,,,,,,,,,692
1484622338564623	,cn-hongkong,aabc891e-ec3a-493f-b4c0-afea28d8f22d,aabc891e-ec3a-493f-b4c0-afea28d8f22d,2026-08-14 15:00:00,2026-08-14 16:00:00,,base_line_full_search,,,,,,,,,371
1484622338564623	,cn-hongkong,aabc891e-ec3a-493f-b4c0-afea28d8f22d,aabc891e-ec3a-493f-b4c0-afea28d8f22d,2026-08-14 16:00:00,2026-08-14 17:00:00,,base_line_full_search,,,,,,,,,18856
1484622338564623	,cn-hongkong,aabc891e-ec3a-493f-b4c0-afea28d8f22d,aabc891e-ec3a-493f-b4c0-afea28d8f22d,2026-08-14 17:00:00,2026-08-14 18:00:00,,base_line_full_search,,,,,,,,,32216
1484622338564623	,cn-hongkong,aabc891e-ec3a-493f-b4c0-afea28d8f22d,aabc891e-ec3a-493f-b4c0-afea28d8f22d,2026-08-14 18:00:00,2026-08-14 19:00:00,,base_line_full_search,,,,,,,,,1073
1484622338564623	,cn-hongkong,aabc891e-ec3a-493f-b4c0-afea28d8f22d,aabc891e-ec3a-493f-b4c0-afea28d8f22d,2026-08-14 19:00:00,2026-08-14 20:00:00,,base_line_full_search,,,,,,,,,31240
1484622338564623	,cn-hongkong,aabc891e-ec3a-493f-b4c0-afea28d8f22d,aabc891e-ec3a-493f-b4c0-afea28d8f22d,2026-08-14 20:00:00,2026-08-14 21:00:00,,base_line_full_search,,,,,,,,,4324
1484622338564623	,cn-hongkong,aabc891e-ec3a-493f-b4c0-afea28d8f22d,aabc891e-ec3a-493f-b4c0-afea28d8f22d,2026-08-14 21:00:00,2026-08-14 22:00:00,,base_line_full_search,,,,,,,,,28830
1484622338564623	,cn-hongkong,aabc891e-ec3a-493f-b4c0-afea28d8f22d,aabc891e-ec3a-493f-b4c0-afea28d8f22d,2026-08-14 22:00:00,2026-08-14 23:00:00,,base_line_full_search,,,,,,,,,3984
1484622338564623	,cn-hongkong,aabc891e-ec3a-493f-b4c0-afea28d8f22d,aabc891e-ec3a-493f-b4c0-afea28d8f22d,2026-08-14 23:00:00,2026-08-15 00:00:00,,base_line_full_search,,,,,,,,,5482
1484622338564623	,cn-hongkong,aabc891e-ec3a-493f-b4c0-afea28d8f22d,aabc891e-ec3a-493f-b4c0-afea28d8f22d,2026-08-16 06:00:00,2026-08-16 07:00:00,,base_line_full_search,,,,,,,,,0
1484622338564623	,cn-hongkong,aabc891e-ec3a-493f-b4c0-afea28d8f22d,aabc891e-ec3a-493f-b4c0-afea28d8f22d,2026-08-16 07:00:00,2026-08-16 08:00:00,,base_line_full_search,,,,,,,,,58118
1484622338564623	,cn-hongkong,aabc891e-ec3a-493f-b4c0-afea28d8f22d,aabc891e-ec3a-493f-b4c0-afea28d8f22d,2026-08-16 16:00:00,2026-08-16 17:00:00,,base_line_full_search,,,,,,,,,0
1484622338564623	,cn-hongkong,aabc891e-ec3a-493f-b4c0-afea28d8f22d,aabc891e-ec3a-493f-b4c0-afea28d8f22d,2026-08-16 17:00:00,2026-08-16 18:00:00,,base_line_full_search,,,,,,,,,35499
1484622338564623	,cn-hongkong,aabc891e-ec3a-493f-b4c0-afea28d8f22d,aabc891e-ec3a-493f-b4c0-afea28d8f22d,2026-08-16 18:00:00,2026-08-16 19:00:00,,base_line_full_search,,,,,,,,,1215
1484622338564623	,cn-hongkong,aabc891e-ec3a-493f-b4c0-afea28d8f22d,aabc891e-ec3a-493f-b4c0-afea28d8f22d,2026-08-16 19:00:00,2026-08-16 20:00:00,,base_line_full_search,,,,,,,,,42221
1484622338564623	,cn-hongkong,aabc891e-ec3a-493f-b4c0-afea28d8f22d,aabc891e-ec3a-493f-b4c0-afea28d8f22d,2026-08-16 20:00:00,2026-08-16 21:00:00,,base_line_full_search,,,,,,,,,640
1484622338564623	,cn-hongkong,f13fe901-0107-4f05-a721-52826961c6af,f13fe901-0107-4f05-a721-52826961c6af,2026-08-14 13:00:00,2026-08-14 14:00:00,,vector_search,,,,,,,,,0
1484622338564623	,cn-hongkong,f13fe901-0107-4f05-a721-52826961c6af,f13fe901-0107-4f05-a721-52826961c6af,2026-08-14 14:00:00,2026-08-14 15:00:00,,vector_search,,,,,,,,,1776
1484622338564623	,cn-hongkong,f13fe901-0107-4f05-a721-52826961c6af,f13fe901-0107-4f05-a721-52826961c6af,2026-08-14 15:00:00,2026-08-14 16:00:00,,vector_search,,,,,,,,,1350
1484622338564623	,cn-hongkong,f13fe901-0107-4f05-a721-52826961c6af,f13fe901-0107-4f05-a721-52826961c6af,2026-08-14 16:00:00,2026-08-14 17:00:00,,vector_search,,,,,,,,,1350
1484622338564623	,cn-hongkong,f13fe901-0107-4f05-a721-52826961c6af,f13fe901-0107-4f05-a721-52826961c6af,2026-08-14 17:00:00,2026-08-14 18:00:00,,vector_search,,,,,,,,,121
1484622338564623	,cn-hongkong,f13fe901-0107-4f05-a721-52826961c6af,f13fe901-0107-4f05-a721-52826961c6af,2026-08-14 18:00:00,2026-08-14 19:00:00,,vector_search,,,,,,,,,4616
1484622338564623	,cn-hongkong,f13fe901-0107-4f05-a721-52826961c6af,f13fe901-0107-4f05-a721-52826961c6af,2026-08-14 19:00:00,2026-08-14 20:00:00,,vector_search,,,,,,,,,5721
1484622338564623	,cn-hongkong,f13fe901-0107-4f05-a721-52826961c6af,f13fe901-0107-4f05-a721-52826961c6af,2026-08-14 20:00:00,2026-08-14 21:00:00,,vector_search,,,,,,,,,619
1484622338564623	,cn-hongkong,f13fe901-0107-4f05-a721-52826961c6af,f13fe901-0107-4f05-a721-52826961c6af,2026-08-14 21:00:00,2026-08-14 22:00:00,,vector_search,,,,,,,,,3696
1484622338564623	,cn-hongkong,f13fe901-0107-4f05-a721-52826961c6af,f13fe901-0107-4f05-a721-52826961c6af,2026-08-14 22:00:00,2026-08-14 23:00:00,,vector_search,,,,,,,,,4873
1484622338564623	,cn-hongkong,f13fe901-0107-4f05-a721-52826961c6af,f13fe901-0107-4f05-a721-52826961c6af,2026-08-14 23:00:00,2026-08-15 00:00:00,,vector_search,,,,,,,,,0
